"Tipologia","Frecuencia","Porcentaje","Nodos","Aristas","Densidad","intergeneracional","padrastros","suegros","nodos_aislados","monoparental"
"T1",10371,16.49,1,0,NA,0,0,0,1,0
"T2",9009,14.32,2,2,1,0,0,0,0,0
"T3",6721,10.68,3,4,0.6667,0,0,0,0,0
"T4",6616,10.52,2,1,0.5,0,0,0,0,1
"T5",5395,8.58,4,6,0.5,0,0,0,0,0
"T6",3875,6.16,3,2,0.3333,0,0,0,0,1
"T7",1718,2.73,5,8,0.4,0,0,0,0,0
"T8",1637,2.6,2,0,0,0,0,0,1,0
"T9",1377,2.19,4,3,0.25,0,0,0,0,1
"T10",1053,1.67,3,2,0.3333,1,0,0,0,0
"T11",909,1.44,3,2,0.3333,0,0,0,1,0
"T12",832,1.32,3,3,0.5,0,1,0,0,0
"T13",685,1.09,3,1,0.1667,0,0,0,1,1
"T14",658,1.05,4,5,0.4167,0,1,0,0,0
"T15",578,0.92,4,5,0.4167,1,0,0,0,0
"T16",479,0.76,4,4,0.3333,0,0,0,1,0
"T17",453,0.72,4,3,0.25,1,0,0,0,0
"T18",438,0.7,4,5,0.4167,0,0,1,0,0
"T19",425,0.68,4,3,0.25,1,0,0,0,0
"T20",420,0.67,3,3,0.5,0,0,1,0,0
"T21",383,0.61,3,0,0,0,0,0,1,0
"T22",365,0.58,5,7,0.35,1,0,0,0,0
"T23",349,0.55,5,7,0.35,0,0,1,0,0
"T24",303,0.48,6,10,0.3333,0,0,0,0,0
"T25",302,0.48,4,4,0.3333,0,1,0,0,0
"T26",289,0.46,4,2,0.1667,0,0,0,1,1
"T27",277,0.44,5,4,0.2,0,0,0,0,1
"T28",256,0.41,5,7,0.35,0,1,0,0,0
"T29",249,0.4,5,6,0.3,0,0,0,1,0
"T30",202,0.32,4,2,0.1667,0,0,0,1,0
"T31",201,0.32,5,6,0.3,1,0,0,0,0
"T32",144,0.23,5,4,0.2,1,0,0,0,0
"T33",143,0.23,4,1,0.0833,0,0,0,1,1
"T34",138,0.22,5,8,0.4,0,0,1,0,0
"T35",138,0.22,4,6,0.5,0,0,1,0,0
"T36",136,0.22,5,4,0.2,1,0,0,0,0
"T37",128,0.2,5,6,0.3,0,1,0,0,0
"T38",120,0.19,5,4,0.2,1,0,0,0,0
"T39",102,0.16,6,9,0.3,0,0,1,0,0
"T40",101,0.16,6,10,0.3333,0,0,1,0,0
"T41",100,0.16,4,2,0.1667,1,0,0,1,0
"T42",99,0.16,6,9,0.3,1,0,0,0,0
"T43",95,0.15,6,8,0.2667,0,0,0,1,0
"T44",92,0.15,6,10,0.3333,0,0,1,0,0
"T45",89,0.14,4,0,0,0,0,0,1,0
"T46",87,0.14,5,5,0.25,0,1,0,0,0
"T47",86,0.14,6,8,0.2667,1,0,0,0,0
"T48",84,0.13,4,4,0.3333,1,1,0,0,0
"T49",77,0.12,5,3,0.15,0,0,0,1,1
"T50",74,0.12,4,3,0.25,0,1,0,1,0
"T51",70,0.11,5,6,0.3,0,0,1,0,0
"T52",66,0.1,4,4,0.3333,0,0,1,0,0
"T53",65,0.1,5,8,0.4,0,0,1,0,0
"T54",57,0.09,5,4,0.2,0,0,0,1,0
"T55",57,0.09,4,3,0.25,0,0,0,0,0
"T56",52,0.08,4,4,0.3333,0,1,1,0,0
"T57",49,0.08,6,8,0.2667,0,0,1,0,0
"T58",48,0.08,6,7,0.2333,1,0,0,0,0
"T59",46,0.07,4,3,0.25,0,0,1,1,0
"T60",46,0.07,6,5,0.1667,0,0,0,0,1
"T61",46,0.07,4,2,0.1667,0,0,0,0,0
"T62",42,0.07,6,9,0.3,0,1,0,0,0
"T63",42,0.07,5,6,0.3,0,1,1,0,0
"T64",39,0.06,5,3,0.15,1,0,0,1,0
"T65",39,0.06,7,12,0.2857,0,0,0,0,0
"T66",37,0.06,5,5,0.25,1,0,0,1,0
"T67",34,0.05,4,4,0.3333,0,1,0,0,0
"T68",33,0.05,6,10,0.3333,0,0,1,0,0
"T69",32,0.05,5,5,0.25,0,0,1,1,0
"T70",32,0.05,7,12,0.2857,0,0,1,0,0
"T71",32,0.05,6,5,0.1667,1,0,0,0,0
"T72",32,0.05,4,3,0.25,1,0,0,0,0
"T73",31,0.05,5,2,0.1,0,0,0,1,1
"T74",31,0.05,5,3,0.15,1,0,0,1,0
"T75",30,0.05,6,8,0.2667,0,1,0,0,0
"T76",30,0.05,5,5,0.25,0,1,0,0,0
"T77",30,0.05,4,4,0.3333,0,0,0,0,0
"T78",29,0.05,5,2,0.1,0,0,0,1,0
"T79",29,0.05,5,5,0.25,1,1,0,0,0
"T80",28,0.04,7,12,0.2857,0,0,1,0,0
"T81",28,0.04,6,5,0.1667,1,0,0,0,0
"T82",28,0.04,5,4,0.2,1,0,0,0,0
"T83",27,0.04,6,7,0.2333,1,0,0,1,0
"T84",27,0.04,6,8,0.2667,1,0,0,0,0
"T85",26,0.04,6,6,0.2,0,0,0,1,0
"T86",26,0.04,7,11,0.2619,1,0,0,0,0
"T87",26,0.04,5,6,0.3,1,1,0,0,0
"T88",25,0.04,5,1,0.05,0,0,0,1,1
"T89",25,0.04,7,9,0.2143,1,0,0,0,0
"T90",25,0.04,5,4,0.2,1,0,0,0,0
"T91",24,0.04,6,4,0.1333,0,0,0,1,1
"T92",24,0.04,5,6,0.3,0,1,0,0,0
"T93",23,0.04,5,5,0.25,0,1,0,1,0
"T94",23,0.04,5,3,0.15,0,0,0,0,0
"T95",23,0.04,5,5,0.25,0,0,0,0,0
"T96",22,0.03,6,7,0.2333,0,1,0,0,0
"T97",22,0.03,4,4,0.3333,0,1,1,0,0
"T98",22,0.03,5,5,0.25,1,1,0,0,0
"T99",21,0.03,7,11,0.2619,0,0,1,0,0
"T100",21,0.03,6,5,0.1667,1,0,0,0,0
"T101",21,0.03,5,5,0.25,0,0,1,0,0
"T102",21,0.03,5,7,0.35,0,1,1,0,0
"T103",20,0.03,7,12,0.2857,0,0,1,0,0
"T104",19,0.03,6,7,0.2333,0,0,1,1,0
"T105",19,0.03,6,5,0.1667,1,0,0,0,0
"T106",19,0.03,6,5,0.1667,1,0,0,0,0
"T107",18,0.03,5,4,0.2,0,1,0,1,0
"T108",18,0.03,4,5,0.4167,0,1,1,0,0
"T109",17,0.03,6,3,0.1,0,0,0,1,1
"T110",17,0.03,6,6,0.2,0,1,0,0,0
"T111",17,0.03,7,10,0.2381,1,0,0,0,0
"T112",17,0.03,5,7,0.35,0,1,1,0,0
"T113",17,0.03,5,6,0.3,1,0,1,0,0
"T114",16,0.03,5,3,0.15,0,0,0,1,0
"T115",16,0.03,5,5,0.25,0,1,1,0,0
"T116",16,0.03,5,4,0.2,0,0,0,0,0
"T117",16,0.03,6,5,0.1667,1,0,0,0,0
"T118",16,0.03,5,6,0.3,0,0,0,0,0
"T119",15,0.02,6,8,0.2667,0,1,1,0,0
"T120",15,0.02,5,4,0.2,1,0,0,0,0
"T121",15,0.02,7,9,0.2143,1,0,0,0,0
"T122",14,0.02,5,3,0.15,0,1,0,1,0
"T123",14,0.02,5,5,0.25,0,1,1,0,0
"T124",13,0.02,7,10,0.2381,0,0,0,1,0
"T125",13,0.02,6,7,0.2333,0,1,0,1,0
"T126",13,0.02,6,7,0.2333,0,1,0,0,0
"T127",12,0.02,7,8,0.1905,0,0,0,1,0
"T128",12,0.02,6,4,0.1333,1,0,0,1,0
"T129",12,0.02,5,6,0.3,0,0,1,1,0
"T130",12,0.02,7,10,0.2381,0,0,1,0,0
"T131",12,0.02,5,6,0.3,0,1,1,0,0
"T132",12,0.02,5,4,0.2,1,0,0,0,0
"T133",12,0.02,5,5,0.25,1,0,1,0,0
"T134",11,0.02,5,0,0,0,0,0,1,0
"T135",11,0.02,6,2,0.0667,0,0,0,1,0
"T136",11,0.02,7,6,0.1429,0,0,0,0,1
"T137",11,0.02,6,7,0.2333,0,0,1,0,0
"T138",11,0.02,7,11,0.2619,1,0,1,0,0
"T139",10,0.02,6,4,0.1333,0,0,0,1,0
"T140",10,0.02,6,6,0.2,1,0,0,1,0
"T141",10,0.02,6,4,0.1333,1,0,0,1,0
"T142",10,0.02,5,4,0.2,1,1,0,1,0
"T143",10,0.02,7,8,0.1905,1,0,0,0,0
"T144",10,0.02,7,6,0.1429,1,0,0,0,0
"T145",10,0.02,6,6,0.2,1,1,0,0,0
"T146",10,0.02,5,6,0.3,0,1,1,0,0
"T147",10,0.02,6,6,0.2,1,1,0,0,0
"T148",10,0.02,6,8,0.2667,1,0,1,0,0
"T149",10,0.02,6,7,0.2333,0,0,0,0,0
"T150",10,0.02,6,8,0.2667,1,1,0,0,0
"T151",9,0.01,6,3,0.1,1,0,0,1,0
"T152",9,0.01,5,2,0.1,1,0,0,1,0
"T153",9,0.01,5,4,0.2,0,0,1,1,0
"T154",9,0.01,5,2,0.1,0,0,0,1,0
"T155",9,0.01,7,11,0.2619,0,1,0,0,0
"T156",9,0.01,8,14,0.25,0,0,0,0,0
"T157",9,0.01,8,14,0.25,0,0,1,0,0
"T158",9,0.01,7,6,0.1429,1,0,0,0,0
"T159",9,0.01,6,4,0.1333,0,0,0,0,0
"T160",9,0.01,6,9,0.3,1,0,1,0,0
"T161",8,0.01,6,3,0.1,0,0,0,1,0
"T162",8,0.01,6,4,0.1333,1,0,0,1,0
"T163",8,0.01,6,8,0.2667,0,0,1,1,0
"T164",8,0.01,5,7,0.35,0,0,1,0,0
"T165",8,0.01,6,7,0.2333,0,1,1,0,0
"T166",8,0.01,6,9,0.3,0,1,1,0,0
"T167",8,0.01,7,12,0.2857,0,0,1,0,0
"T168",8,0.01,7,10,0.2381,1,0,1,0,0
"T169",8,0.01,4,4,0.3333,1,0,1,0,0
"T170",8,0.01,6,8,0.2667,0,0,0,0,0
"T171",8,0.01,6,7,0.2333,1,1,0,0,0
"T172",8,0.01,5,6,0.3,1,1,0,0,0
"T173",7,0.01,6,0,0,0,0,0,1,0
"T174",7,0.01,7,6,0.1429,0,0,0,1,0
"T175",7,0.01,7,9,0.2143,0,0,1,1,0
"T176",7,0.01,7,10,0.2381,0,0,1,1,0
"T177",7,0.01,8,7,0.125,1,0,0,0,0
"T178",7,0.01,7,8,0.1905,0,0,1,0,0
"T179",7,0.01,7,6,0.1429,1,0,0,0,0
"T180",7,0.01,6,6,0.2,0,1,1,0,0
"T181",7,0.01,6,9,0.3,0,1,1,0,0
"T182",7,0.01,6,8,0.2667,0,1,1,0,0
"T183",7,0.01,6,5,0.1667,1,0,0,0,0
"T184",7,0.01,6,6,0.2,0,1,0,0,0
"T185",7,0.01,5,7,0.35,0,1,1,0,0
"T186",7,0.01,7,10,0.2381,1,0,0,0,0
"T187",7,0.01,6,7,0.2333,0,1,1,0,0
"T188",7,0.01,6,7,0.2333,1,1,0,0,0
"T189",7,0.01,5,3,0.15,1,0,0,0,0
"T190",6,0.01,6,2,0.0667,0,0,0,1,1
"T191",6,0.01,6,4,0.1333,0,1,0,1,0
"T192",6,0.01,6,2,0.0667,0,0,0,1,0
"T193",6,0.01,7,8,0.1905,1,0,0,1,0
"T194",6,0.01,6,8,0.2667,0,0,1,1,0
"T195",6,0.01,5,4,0.2,0,1,1,1,0
"T196",6,0.01,6,6,0.2,0,0,1,1,0
"T197",6,0.01,5,3,0.15,1,0,0,1,0
"T198",6,0.01,7,10,0.2381,0,1,0,0,0
"T199",6,0.01,7,6,0.1429,1,0,0,0,0
"T200",6,0.01,7,7,0.1667,1,1,0,0,0
"T201",6,0.01,7,7,0.1667,1,1,0,0,0
"T202",6,0.01,8,11,0.1964,1,0,0,0,0
"T203",6,0.01,7,6,0.1429,1,0,0,0,0
"T204",6,0.01,7,9,0.2143,0,0,1,0,0
"T205",6,0.01,6,5,0.1667,1,0,0,0,0
"T206",6,0.01,5,5,0.25,0,1,0,0,0
"T207",6,0.01,6,9,0.3,0,0,1,0,0
"T208",6,0.01,6,8,0.2667,0,0,1,0,0
"T209",6,0.01,7,9,0.2143,1,0,0,0,0
"T210",6,0.01,6,7,0.2333,1,0,0,0,0
"T211",6,0.01,6,7,0.2333,1,0,1,0,0
"T212",6,0.01,6,9,0.3,0,1,1,0,0
"T213",5,0.01,6,4,0.1333,0,0,0,1,0
"T214",5,0.01,5,3,0.15,0,0,1,1,0
"T215",5,0.01,6,5,0.1667,1,0,0,1,0
"T216",5,0.01,8,12,0.2143,0,0,1,1,0
"T217",5,0.01,7,8,0.1905,0,0,1,1,0
"T218",5,0.01,6,5,0.1667,0,1,0,1,0
"T219",5,0.01,6,6,0.2,0,1,0,1,0
"T220",5,0.01,6,5,0.1667,0,1,1,1,0
"T221",5,0.01,5,4,0.2,0,0,0,1,0
"T222",5,0.01,7,10,0.2381,0,1,1,0,0
"T223",5,0.01,8,13,0.2321,0,0,1,0,0
"T224",5,0.01,8,14,0.25,0,0,1,0,0
"T225",5,0.01,8,13,0.2321,1,0,0,0,0
"T226",5,0.01,8,11,0.1964,1,0,0,0,0
"T227",5,0.01,6,7,0.2333,0,1,1,0,0
"T228",5,0.01,7,11,0.2619,0,0,1,0,0
"T229",5,0.01,7,6,0.1429,1,0,0,0,0
"T230",5,0.01,7,9,0.2143,0,0,0,0,0
"T231",5,0.01,6,6,0.2,0,1,1,0,0
"T232",5,0.01,6,8,0.2667,0,1,0,0,0
"T233",5,0.01,6,7,0.2333,1,0,1,0,0
"T234",5,0.01,5,6,0.3,0,1,1,0,0
"T235",5,0.01,8,14,0.25,0,0,1,0,0
"T236",5,0.01,6,9,0.3,0,1,1,0,0
"T237",5,0.01,8,13,0.2321,1,0,1,0,0
"T238",5,0.01,7,9,0.2143,1,0,1,0,0
"T239",5,0.01,5,6,0.3,1,0,1,0,0
"T240",5,0.01,5,6,0.3,1,0,0,0,0
"T241",4,0.01,7,4,0.0952,0,0,0,1,0
"T242",4,0.01,6,5,0.1667,0,0,1,1,0
"T243",4,0.01,9,14,0.1944,0,0,1,1,0
"T244",4,0.01,7,5,0.119,1,0,0,1,0
"T245",4,0.01,7,10,0.2381,0,0,1,1,0
"T246",4,0.01,7,7,0.1667,0,0,0,1,0
"T247",4,0.01,6,5,0.1667,1,1,0,1,0
"T248",4,0.01,7,9,0.2143,0,1,1,0,0
"T249",4,0.01,7,9,0.2143,0,1,1,0,0
"T250",4,0.01,7,6,0.1429,1,0,0,0,0
"T251",4,0.01,7,5,0.119,0,0,0,0,0
"T252",4,0.01,7,7,0.1667,0,1,0,0,0
"T253",4,0.01,6,6,0.2,0,1,1,0,0
"T254",4,0.01,6,5,0.1667,0,0,0,0,0
"T255",4,0.01,6,6,0.2,1,1,0,0,0
"T256",4,0.01,6,8,0.2667,0,1,1,0,0
"T257",4,0.01,6,6,0.2,0,0,1,0,0
"T258",4,0.01,6,8,0.2667,0,1,1,0,0
"T259",4,0.01,7,10,0.2381,0,0,1,0,0
"T260",4,0.01,9,15,0.2083,1,0,1,0,0
"T261",4,0.01,5,5,0.25,1,0,1,0,0
"T262",4,0.01,8,12,0.2143,1,0,1,0,0
"T263",4,0.01,7,9,0.2143,1,0,1,0,0
"T264",4,0.01,6,5,0.1667,1,0,0,0,0
"T265",4,0.01,6,9,0.3,0,1,1,0,0
"T266",4,0.01,5,5,0.25,0,1,1,0,0
"T267",4,0.01,6,6,0.2,0,0,0,0,0
"T268",4,0.01,5,7,0.35,0,1,1,0,0
"T269",4,0.01,5,5,0.25,1,1,1,0,0
"T270",4,0.01,5,4,0.2,0,1,0,0,0
"T271",4,0.01,6,8,0.2667,0,0,0,0,0
"T272",3,0,7,3,0.0714,0,0,0,1,1
"T273",3,0,8,10,0.1786,0,0,0,1,0
"T274",3,0,7,4,0.0952,1,0,0,1,0
"T275",3,0,7,4,0.0952,0,0,0,1,1
"T276",3,0,7,7,0.1667,1,0,0,1,0
"T277",3,0,6,5,0.1667,0,1,0,1,0
"T278",3,0,8,12,0.2143,0,0,0,1,0
"T279",3,0,8,12,0.2143,0,0,1,1,0
"T280",3,0,7,5,0.119,1,0,0,1,0
"T281",3,0,7,5,0.119,0,0,0,1,1
"T282",3,0,7,7,0.1667,1,0,0,1,0
"T283",3,0,7,9,0.2143,0,1,0,1,0
"T284",3,0,7,10,0.2381,0,0,1,1,0
"T285",3,0,7,9,0.2143,1,0,0,1,0
"T286",3,0,6,6,0.2,0,1,1,1,0
"T287",3,0,6,4,0.1333,1,0,0,1,0
"T288",3,0,6,6,0.2,0,0,0,1,0
"T289",3,0,6,4,0.1333,1,0,0,1,0
"T290",3,0,6,5,0.1667,0,0,0,1,0
"T291",3,0,6,4,0.1333,0,0,1,1,0
"T292",3,0,4,4,0.3333,0,0,1,0,0
"T293",3,0,8,7,0.125,1,0,0,0,0
"T294",3,0,7,10,0.2381,0,1,1,0,0
"T295",3,0,7,11,0.2619,0,1,1,0,0
"T296",3,0,8,7,0.125,1,0,0,0,0
"T297",3,0,8,7,0.125,1,0,0,0,0
"T298",3,0,7,6,0.1429,1,0,0,0,0
"T299",3,0,6,6,0.2,1,0,1,0,0
"T300",3,0,7,10,0.2381,1,0,1,0,0
"T301",3,0,6,9,0.3,0,1,1,0,0
"T302",3,0,8,12,0.2143,1,0,0,0,0
"T303",3,0,7,9,0.2143,1,1,0,0,0
"T304",3,0,7,11,0.2619,0,1,1,0,0
"T305",3,0,7,8,0.1905,1,1,0,0,0
"T306",3,0,7,8,0.1905,1,1,1,0,0
"T307",3,0,6,4,0.1333,1,0,0,0,0
"T308",3,0,6,7,0.2333,0,1,1,0,0
"T309",3,0,6,4,0.1333,0,0,0,0,0
"T310",3,0,6,5,0.1667,0,1,0,0,0
"T311",3,0,5,5,0.25,1,0,1,0,0
"T312",3,0,8,13,0.2321,0,0,1,0,0
"T313",3,0,6,8,0.2667,0,0,1,0,0
"T314",3,0,8,13,0.2321,1,0,1,0,0
"T315",3,0,7,11,0.2619,1,0,1,0,0
"T316",3,0,6,6,0.2,1,0,1,0,0
"T317",3,0,7,10,0.2381,0,0,1,0,0
"T318",3,0,5,6,0.3,0,0,1,0,0
"T319",3,0,6,5,0.1667,1,0,0,0,0
"T320",3,0,6,8,0.2667,1,0,0,0,0
"T321",3,0,6,6,0.2,1,0,0,0,0
"T322",3,0,6,10,0.3333,0,0,1,0,0
"T323",2,0,8,4,0.0714,0,0,0,1,0
"T324",2,0,7,2,0.0476,0,0,0,1,0
"T325",2,0,6,3,0.1,0,0,1,1,0
"T326",2,0,7,5,0.119,0,1,0,1,0
"T327",2,0,6,2,0.0667,1,0,0,1,0
"T328",2,0,6,3,0.1,0,1,0,1,0
"T329",2,0,8,9,0.1607,0,0,1,1,0
"T330",2,0,8,5,0.0893,1,0,0,1,0
"T331",2,0,7,6,0.1429,1,0,0,1,0
"T332",2,0,7,4,0.0952,1,0,0,1,0
"T333",2,0,7,7,0.1667,0,0,1,1,0
"T334",2,0,7,5,0.119,0,0,0,1,0
"T335",2,0,7,6,0.1429,0,0,1,1,0
"T336",2,0,6,3,0.1,1,0,0,1,0
"T337",2,0,9,14,0.1944,0,0,1,1,0
"T338",2,0,8,9,0.1607,1,0,0,1,0
"T339",2,0,8,10,0.1786,0,1,0,1,0
"T340",2,0,6,6,0.2,0,0,1,1,0
"T341",2,0,8,11,0.1964,0,0,1,1,0
"T342",2,0,8,12,0.2143,0,0,1,1,0
"T343",2,0,8,10,0.1786,0,0,0,1,0
"T344",2,0,8,12,0.2143,0,0,1,1,0
"T345",2,0,8,10,0.1786,0,0,1,1,0
"T346",2,0,7,6,0.1429,0,1,1,1,0
"T347",2,0,7,6,0.1429,0,1,0,1,0
"T348",2,0,7,5,0.119,0,0,0,1,0
"T349",2,0,7,7,0.1667,0,1,0,1,0
"T350",2,0,8,7,0.125,1,1,0,1,0
"T351",2,0,7,4,0.0952,0,0,0,1,0
"T352",2,0,7,5,0.119,1,0,0,1,0
"T353",2,0,7,5,0.119,0,1,0,1,0
"T354",2,0,6,4,0.1333,1,0,0,1,0
"T355",2,0,6,7,0.2333,0,1,1,1,0
"T356",2,0,6,6,0.2,0,1,1,1,0
"T357",2,0,7,8,0.1905,0,1,1,1,0
"T358",2,0,7,8,0.1905,1,0,0,1,0
"T359",2,0,6,6,0.2,1,0,1,1,0
"T360",2,0,6,7,0.2333,0,1,1,1,0
"T361",2,0,6,6,0.2,1,0,1,1,0
"T362",2,0,6,6,0.2,1,1,0,1,0
"T363",2,0,5,4,0.2,0,1,0,1,0
"T364",2,0,5,5,0.25,0,1,1,1,0
"T365",2,0,10,18,0.2,0,0,1,0,0
"T366",2,0,10,18,0.2,0,0,1,0,0
"T367",2,0,9,13,0.1806,1,0,1,0,0
"T368",2,0,8,9,0.1607,1,0,0,0,0
"T369",2,0,8,10,0.1786,1,0,0,0,0
"T370",2,0,8,13,0.2321,0,1,1,0,0
"T371",2,0,9,16,0.2222,0,0,0,0,0
"T372",2,0,9,16,0.2222,0,0,1,0,0
"T373",2,0,9,16,0.2222,0,0,1,0,0
"T374",2,0,9,16,0.2222,0,0,1,0,0
"T375",2,0,9,16,0.2222,0,0,1,0,0
"T376",2,0,10,12,0.1333,1,0,1,0,0
"T377",2,0,9,14,0.1944,1,0,1,0,0
"T378",2,0,7,7,0.1667,0,1,1,0,0
"T379",2,0,7,7,0.1667,0,1,0,0,0
"T380",2,0,7,7,0.1667,0,0,1,0,0
"T381",2,0,7,9,0.2143,0,1,0,0,0
"T382",2,0,7,10,0.2381,0,1,1,0,0
"T383",2,0,7,8,0.1905,0,1,1,0,0
"T384",2,0,7,8,0.1905,1,0,1,0,0
"T385",2,0,7,11,0.2619,0,1,1,0,0
"T386",2,0,7,10,0.2381,0,1,1,0,0
"T387",2,0,7,11,0.2619,0,1,1,0,0
"T388",2,0,7,10,0.2381,0,1,1,0,0
"T389",2,0,7,10,0.2381,0,1,1,0,0
"T390",2,0,7,11,0.2619,0,1,1,0,0
"T391",2,0,8,12,0.2143,0,0,0,0,0
"T392",2,0,8,14,0.25,0,0,1,0,0
"T393",2,0,10,13,0.1444,1,0,0,0,0
"T394",2,0,10,15,0.1667,0,0,1,0,0
"T395",2,0,9,12,0.1667,1,0,0,0,0
"T396",2,0,8,12,0.2143,0,0,1,0,0
"T397",2,0,8,13,0.2321,0,1,1,0,0
"T398",2,0,8,9,0.1607,1,0,1,0,0
"T399",2,0,8,7,0.125,1,0,0,0,0
"T400",2,0,8,10,0.1786,1,0,1,0,0
"T401",2,0,8,12,0.2143,1,0,0,0,0
"T402",2,0,8,12,0.2143,1,0,1,0,0
"T403",2,0,7,6,0.1429,1,0,0,0,0
"T404",2,0,7,8,0.1905,0,1,0,0,0
"T405",2,0,7,7,0.1667,1,1,1,0,0
"T406",2,0,7,8,0.1905,0,1,0,0,0
"T407",2,0,7,7,0.1667,1,0,1,0,0
"T408",2,0,6,6,0.2,1,0,1,0,0
"T409",2,0,6,7,0.2333,0,1,1,0,0
"T410",2,0,6,7,0.2333,0,1,0,0,0
"T411",2,0,6,8,0.2667,0,1,1,0,0
"T412",2,0,6,7,0.2333,0,1,0,0,0
"T413",2,0,9,15,0.2083,0,0,1,0,0
"T414",2,0,7,11,0.2619,0,1,1,0,0
"T415",2,0,7,11,0.2619,0,1,1,0,0
"T416",2,0,7,10,0.2381,0,0,0,0,0
"T417",2,0,9,15,0.2083,1,0,1,0,0
"T418",2,0,8,7,0.125,1,0,0,0,0
"T419",2,0,8,12,0.2143,1,1,1,0,0
"T420",2,0,7,7,0.1667,1,1,0,0,0
"T421",2,0,7,7,0.1667,1,0,1,0,0
"T422",2,0,7,6,0.1429,1,0,0,0,0
"T423",2,0,7,6,0.1429,1,0,0,0,0
"T424",2,0,7,9,0.2143,0,0,1,0,0
"T425",2,0,7,11,0.2619,0,1,1,0,0
"T426",2,0,7,8,0.1905,0,0,0,0,0
"T427",2,0,6,6,0.2,0,1,0,0,0
"T428",2,0,6,6,0.2,0,1,1,0,0
"T429",2,0,6,7,0.2333,1,1,0,0,0
"T430",2,0,5,5,0.25,0,1,1,0,0
"T431",2,0,5,6,0.3,0,1,1,0,0
"T432",2,0,5,7,0.35,0,1,1,0,0
"T433",2,0,8,12,0.2143,0,0,0,0,0
"T434",2,0,6,9,0.3,0,1,1,0,0
"T435",2,0,7,8,0.1905,1,0,0,0,0
"T436",2,0,7,7,0.1667,1,1,1,0,0
"T437",2,0,7,9,0.2143,1,0,1,0,0
"T438",2,0,6,4,0.1333,1,0,0,0,0
"T439",2,0,6,5,0.1667,0,1,0,0,0
"T440",2,0,6,5,0.1667,1,0,0,0,0
"T441",2,0,6,7,0.2333,0,1,1,0,0
"T442",2,0,6,5,0.1667,1,0,0,0,0
"T443",2,0,6,6,0.2,1,1,0,0,0
"T444",2,0,6,7,0.2333,1,1,1,0,0
"T445",2,0,6,7,0.2333,1,0,1,0,0
"T446",2,0,6,9,0.3,0,1,1,0,0
"T447",2,0,5,5,0.25,0,1,1,0,0
"T448",2,0,5,5,0.25,1,1,0,0,0
"T449",2,0,7,10,0.2381,0,1,1,0,0
"T450",2,0,7,12,0.2857,0,0,1,0,0
"T451",2,0,7,11,0.2619,1,0,1,0,0
"T452",2,0,7,9,0.2143,1,1,1,0,0
"T453",2,0,6,4,0.1333,0,0,0,0,0
"T454",2,0,6,6,0.2,1,1,0,0,0
"T455",2,0,6,8,0.2667,1,1,1,0,0
"T456",2,0,5,6,0.3,0,0,1,0,0
"T457",1,0,7,0,0,0,0,0,1,0
"T458",1,0,8,0,0,0,0,0,1,0
"T459",1,0,9,4,0.0556,0,1,0,1,0
"T460",1,0,9,2,0.0278,0,0,0,1,0
"T461",1,0,9,6,0.0833,0,0,0,1,0
"T462",1,0,8,2,0.0357,0,0,0,1,1
"T463",1,0,8,3,0.0536,0,1,0,1,0
"T464",1,0,9,4,0.0556,1,0,0,1,0
"T465",1,0,9,6,0.0833,1,0,0,1,0
"T466",1,0,9,3,0.0417,0,0,0,1,0
"T467",1,0,11,6,0.0545,1,0,0,1,0
"T468",1,0,7,1,0.0238,0,0,0,1,1
"T469",1,0,11,8,0.0727,1,0,1,1,0
"T470",1,0,10,9,0.1,1,0,0,1,0
"T471",1,0,10,12,0.1333,0,0,0,1,0
"T472",1,0,7,2,0.0476,1,0,0,1,0
"T473",1,0,9,5,0.0694,1,0,0,1,0
