"Tipologia","Frecuencia","Porcentaje","Nodos","Aristas","Densidad","intergeneracional","padrastros","suegros","nodos_aislados","monoparental"
"T474",1,0,7,3,0.0714,0,1,0,1,0
"T475",1,0,13,7,0.0449,0,0,0,1,0
"T476",1,0,9,8,0.1111,0,0,1,1,0
"T477",1,0,8,4,0.0714,1,0,0,1,0
"T478",1,0,8,4,0.0714,0,0,0,1,1
"T479",1,0,8,6,0.1071,1,0,0,1,0
"T480",1,0,8,6,0.1071,0,1,1,1,0
"T481",1,0,12,17,0.1288,0,1,1,1,0
"T482",1,0,8,3,0.0536,0,0,0,1,0
"T483",1,0,12,13,0.0985,0,0,1,1,0
"T484",1,0,8,8,0.1429,0,0,0,1,0
"T485",1,0,6,1,0.0333,0,0,0,1,1
"T486",1,0,10,10,0.1111,0,1,1,1,0
"T487",1,0,11,16,0.1455,0,0,1,1,0
"T488",1,0,10,7,0.0778,1,0,0,1,0
"T489",1,0,10,14,0.1556,0,0,1,1,0
"T490",1,0,18,30,0.098,1,1,1,1,0
"T491",1,0,7,4,0.0952,0,1,0,1,0
"T492",1,0,9,7,0.0972,0,0,0,1,0
"T493",1,0,7,2,0.0476,0,0,0,1,0
"T494",1,0,7,3,0.0714,1,0,0,1,0
"T495",1,0,9,10,0.1389,0,1,1,1,0
"T496",1,0,9,6,0.0833,1,0,0,1,0
"T497",1,0,9,7,0.0972,0,1,1,1,0
"T498",1,0,7,4,0.0952,1,1,0,1,0
"T499",1,0,9,10,0.1389,0,0,0,1,0
"T500",1,0,9,7,0.0972,1,0,1,1,0
"T501",1,0,9,10,0.1389,0,0,1,1,0
"T502",1,0,9,7,0.0972,1,1,0,1,0
"T503",1,0,14,24,0.1319,0,0,1,1,0
"T504",1,0,8,7,0.125,0,1,0,1,0
"T505",1,0,9,10,0.1389,0,0,1,1,0
"T506",1,0,8,6,0.1071,0,1,1,1,0
"T507",1,0,8,10,0.1786,0,0,1,1,0
"T508",1,0,8,8,0.1429,1,1,0,1,0
"T509",1,0,8,3,0.0536,0,0,0,1,0
"T510",1,0,8,5,0.0893,1,0,0,1,0
"T511",1,0,8,8,0.1429,1,1,0,1,0
"T512",1,0,8,8,0.1429,1,0,0,1,0
"T513",1,0,12,14,0.1061,1,1,1,1,0
"T514",1,0,11,11,0.1,1,0,1,1,0
"T515",1,0,11,9,0.0818,1,0,0,1,0
"T516",1,0,8,6,0.1071,1,0,0,1,0
"T517",1,0,7,5,0.119,0,1,0,1,0
"T518",1,0,7,5,0.119,0,0,1,1,0
"T519",1,0,7,6,0.1429,0,1,0,1,0
"T520",1,0,8,6,0.1071,0,1,1,1,0
"T521",1,0,11,14,0.1273,1,1,1,1,0
"T522",1,0,11,9,0.0818,1,0,0,1,0
"T523",1,0,11,13,0.1182,0,0,0,1,0
"T524",1,0,7,3,0.0714,0,0,0,1,0
"T525",1,0,7,5,0.119,0,1,1,1,0
"T526",1,0,7,7,0.1667,0,1,1,1,0
"T527",1,0,7,8,0.1905,0,0,1,1,0
"T528",1,0,11,9,0.0818,1,0,0,1,0
"T529",1,0,11,13,0.1182,1,1,1,1,0
"T530",1,0,10,8,0.0889,1,0,0,1,0
"T531",1,0,7,5,0.119,1,0,1,1,0
"T532",1,0,10,11,0.1222,0,0,1,1,0
"T533",1,0,9,9,0.125,1,0,1,1,0
"T534",1,0,9,11,0.1528,0,1,1,1,0
"T535",1,0,6,4,0.1333,0,0,1,1,0
"T536",1,0,11,17,0.1545,1,0,1,1,0
"T537",1,0,6,3,0.1,1,0,0,1,0
"T538",1,0,10,11,0.1222,1,0,0,1,0
"T539",1,0,6,4,0.1333,0,1,0,1,0
"T540",1,0,9,14,0.1944,0,0,1,1,0
"T541",1,0,9,14,0.1944,0,0,1,1,0
"T542",1,0,10,9,0.1,1,0,1,1,0
"T543",1,0,9,8,0.1111,1,1,0,1,0
"T544",1,0,9,7,0.0972,1,0,0,1,0
"T545",1,0,9,9,0.125,0,0,1,1,0
"T546",1,0,9,10,0.1389,1,1,1,1,0
"T547",1,0,8,8,0.1429,0,1,0,1,0
"T548",1,0,8,9,0.1607,0,1,0,1,0
"T549",1,0,8,7,0.125,0,0,0,1,0
"T550",1,0,8,9,0.1607,0,1,1,1,0
"T551",1,0,6,4,0.1333,1,1,0,1,0
"T552",1,0,8,8,0.1429,0,1,1,1,0
"T553",1,0,9,9,0.125,1,0,1,1,0
"T554",1,0,9,10,0.1389,1,0,1,1,0
"T555",1,0,9,10,0.1389,1,1,0,1,0
"T556",1,0,9,11,0.1528,1,1,1,1,0
"T557",1,0,8,6,0.1071,1,0,0,1,0
"T558",1,0,8,10,0.1786,0,1,0,1,0
"T559",1,0,8,8,0.1429,1,1,1,1,0
"T560",1,0,8,8,0.1429,0,1,1,1,0
"T561",1,0,8,6,0.1071,1,0,0,1,0
"T562",1,0,9,13,0.1806,0,0,1,1,0
"T563",1,0,9,13,0.1806,1,0,1,1,0
"T564",1,0,8,6,0.1071,1,0,0,1,0
"T565",1,0,8,6,0.1071,1,0,0,1,0
"T566",1,0,8,9,0.1607,0,0,0,1,0
"T567",1,0,8,11,0.1964,1,0,0,1,0
"T568",1,0,8,11,0.1964,0,1,1,1,0
"T569",1,0,8,9,0.1607,1,0,1,1,0
"T570",1,0,8,8,0.1429,0,0,0,1,0
"T571",1,0,8,9,0.1607,0,0,1,1,0
"T572",1,0,8,9,0.1607,1,1,0,1,0
"T573",1,0,8,10,0.1786,1,0,0,1,0
"T574",1,0,7,6,0.1429,1,1,0,1,0
"T575",1,0,7,7,0.1667,0,0,1,1,0
"T576",1,0,8,6,0.1071,0,1,1,1,0
"T577",1,0,8,7,0.125,1,1,1,1,0
"T578",1,0,8,7,0.125,0,1,1,1,0
"T579",1,0,8,8,0.1429,0,0,1,1,0
"T580",1,0,8,9,0.1607,1,1,0,1,0
"T581",1,0,8,6,0.1071,1,0,0,1,0
"T582",1,0,8,9,0.1607,1,0,0,1,0
"T583",1,0,7,5,0.119,1,0,0,1,0
"T584",1,0,7,5,0.119,1,0,0,1,0
"T585",1,0,7,6,0.1429,0,1,0,1,0
"T586",1,0,7,5,0.119,1,0,0,1,0
"T587",1,0,9,14,0.1944,0,0,1,1,0
"T588",1,0,7,7,0.1667,0,0,1,1,0
"T589",1,0,7,9,0.2143,0,1,1,1,0
"T590",1,0,15,19,0.0905,0,1,1,0,0
"T591",1,0,6,5,0.1667,0,1,1,1,0
"T592",1,0,8,7,0.125,0,0,0,1,0
"T593",1,0,7,6,0.1429,1,1,0,1,0
"T594",1,0,7,7,0.1667,1,1,0,1,0
"T595",1,0,7,8,0.1905,1,1,0,1,0
"T596",1,0,7,6,0.1429,0,0,0,1,0
"T597",1,0,6,5,0.1667,0,1,1,1,0
"T598",1,0,6,5,0.1667,0,1,0,1,0
"T599",1,0,6,7,0.2333,0,1,1,1,0
"T600",1,0,7,9,0.2143,0,0,1,1,0
"T601",1,0,4,4,0.3333,0,0,1,0,0
"T602",1,0,12,11,0.0833,1,0,0,0,0
"T603",1,0,7,8,0.1905,1,0,0,1,0
"T604",1,0,6,5,0.1667,0,1,1,1,0
"T605",1,0,12,22,0.1667,0,0,1,0,0
"T606",1,0,7,8,0.1905,0,0,0,1,0
"T607",1,0,10,12,0.1333,0,1,1,0,0
"T608",1,0,10,13,0.1444,1,0,1,0,0
"T609",1,0,10,14,0.1556,0,1,1,0,0
"T610",1,0,10,13,0.1444,0,1,0,0,0
"T611",1,0,10,15,0.1667,1,0,1,0,0
"T612",1,0,10,14,0.1556,0,0,1,0,0
"T613",1,0,10,16,0.1778,0,1,1,0,0
"T614",1,0,11,17,0.1545,0,1,1,0,0
"T615",1,0,6,4,0.1333,0,1,0,1,0
"T616",1,0,6,5,0.1667,1,1,0,1,0
"T617",1,0,5,4,0.2,0,1,1,1,0
"T618",1,0,6,5,0.1667,1,0,1,1,0
"T619",1,0,11,19,0.1727,0,0,1,0,0
"T620",1,0,11,20,0.1818,0,0,1,0,0
"T621",1,0,13,15,0.0962,1,1,1,0,0
"T622",1,0,13,19,0.1218,1,0,1,0,0
"T623",1,0,11,11,0.1,1,1,1,0,0
"T624",1,0,11,14,0.1273,0,1,1,0,0
"T625",1,0,11,17,0.1545,0,1,1,0,0
"T626",1,0,12,15,0.1136,1,0,0,0,0
"T627",1,0,11,10,0.0909,1,0,0,0,0
"T628",1,0,11,11,0.1,1,1,1,0,0
"T629",1,0,11,16,0.1455,1,0,1,0,0
"T630",1,0,11,14,0.1273,1,1,1,0,0
"T631",1,0,10,14,0.1556,1,1,1,0,0
"T632",1,0,9,10,0.1389,0,1,0,0,0
"T633",1,0,9,11,0.1528,0,0,1,0,0
"T634",1,0,9,11,0.1528,0,1,1,0,0
"T635",1,0,9,13,0.1806,1,0,1,0,0
"T636",1,0,9,14,0.1944,0,1,0,0,0
"T637",1,0,9,12,0.1667,0,0,1,0,0
"T638",1,0,9,12,0.1667,0,1,1,0,0
"T639",1,0,9,13,0.1806,0,1,1,0,0
"T640",1,0,9,15,0.2083,0,1,0,0,0
"T641",1,0,6,6,0.2,1,0,0,1,0
"T642",1,0,9,15,0.2083,0,1,1,0,0
"T643",1,0,9,15,0.2083,0,1,1,0,0
"T644",1,0,10,17,0.1889,0,0,1,0,0
"T645",1,0,10,18,0.2,0,0,1,0,0
"T646",1,0,10,18,0.2,0,0,1,0,0
"T647",1,0,11,13,0.1182,1,0,0,0,0
"T648",1,0,10,16,0.1778,0,1,1,0,0
"T649",1,0,10,9,0.1,1,0,0,0,0
"T650",1,0,10,17,0.1889,1,0,0,0,0
"T651",1,0,10,13,0.1444,0,0,1,0,0
"T652",1,0,10,13,0.1444,1,0,1,0,0
"T653",1,0,9,8,0.1111,1,0,0,0,0
"T654",1,0,9,9,0.125,1,0,0,0,0
"T655",1,0,9,10,0.1389,0,1,1,0,0
"T656",1,0,9,11,0.1528,0,1,1,0,0
"T657",1,0,9,8,0.1111,1,0,0,0,0
"T658",1,0,9,8,0.1111,1,0,0,0,0
"T659",1,0,9,9,0.125,0,1,0,0,0
"T660",1,0,9,11,0.1528,1,1,0,0,0
"T661",1,0,9,8,0.1111,1,0,0,0,0
"T662",1,0,8,7,0.125,0,0,0,0,1
"T663",1,0,8,7,0.125,0,0,0,0,0
"T664",1,0,8,8,0.1429,1,1,0,0,0
"T665",1,0,8,10,0.1786,0,1,1,0,0
"T666",1,0,8,8,0.1429,0,0,1,0,0
"T667",1,0,8,10,0.1786,0,1,1,0,0
"T668",1,0,8,9,0.1607,1,0,1,0,0
"T669",1,0,8,10,0.1786,0,1,1,0,0
"T670",1,0,8,11,0.1964,0,1,1,0,0
"T671",1,0,8,12,0.2143,0,1,1,0,0
"T672",1,0,8,10,0.1786,0,1,1,0,0
"T673",1,0,8,11,0.1964,0,1,1,0,0
"T674",1,0,8,11,0.1964,0,1,1,0,0
"T675",1,0,8,10,0.1786,0,1,0,0,0
"T676",1,0,8,12,0.2143,0,1,1,0,0
"T677",1,0,8,13,0.2321,0,1,0,0,0
"T678",1,0,8,11,0.1964,0,1,1,0,0
"T679",1,0,8,11,0.1964,0,1,1,0,0
"T680",1,0,8,12,0.2143,0,1,1,0,0
"T681",1,0,8,13,0.2321,0,1,1,0,0
"T682",1,0,5,5,0.25,0,0,1,0,0
"T683",1,0,11,20,0.1818,0,0,1,0,0
"T684",1,0,9,15,0.2083,0,0,1,0,0
"T685",1,0,9,16,0.2222,0,0,1,0,0
"T686",1,0,9,15,0.2083,0,0,1,0,0
"T687",1,0,9,14,0.1944,0,1,1,0,0
"T688",1,0,12,14,0.1061,1,1,1,0,0
"T689",1,0,12,19,0.1439,1,0,1,0,0
"T690",1,0,10,13,0.1444,1,0,0,0,0
"T691",1,0,11,17,0.1545,1,0,0,0,0
"T692",1,0,10,9,0.1,1,1,0,0,0
"T693",1,0,11,14,0.1273,1,0,0,0,0
"T694",1,0,10,8,0.0889,1,0,0,0,0
"T695",1,0,10,9,0.1,0,1,0,0,0
"T696",1,0,9,10,0.1389,1,0,1,0,0
"T697",1,0,10,11,0.1222,1,1,1,0,0
"T698",1,0,10,11,0.1222,1,1,0,0,0
"T699",1,0,10,13,0.1444,1,0,1,0,0
"T700",1,0,9,8,0.1111,1,0,0,0,0
"T701",1,0,9,7,0.0972,1,0,0,0,0
"T702",1,0,11,18,0.1636,0,1,1,0,0
"T703",1,0,9,14,0.1944,0,0,1,0,0
"T704",1,0,9,15,0.2083,1,0,0,0,0
"T705",1,0,9,14,0.1944,0,1,1,0,0
"T706",1,0,9,15,0.2083,0,1,1,0,0
"T707",1,0,9,13,0.1806,0,1,0,0,0
"T708",1,0,9,15,0.2083,0,1,1,0,0
"T709",1,0,9,11,0.1528,1,1,0,0,0
"T710",1,0,9,8,0.1111,1,0,0,0,0
"T711",1,0,9,13,0.1806,1,0,1,0,0
"T712",1,0,9,14,0.1944,0,1,1,0,0
"T713",1,0,9,13,0.1806,1,1,1,0,0
"T714",1,0,9,13,0.1806,1,0,0,0,0
"T715",1,0,8,7,0.125,1,0,0,0,0
"T716",1,0,8,7,0.125,1,0,0,0,0
"T717",1,0,8,8,0.1429,1,1,0,0,0
"T718",1,0,8,8,0.1429,1,1,1,0,0
"T719",1,0,8,10,0.1786,1,1,1,0,0
"T720",1,0,9,14,0.1944,1,0,1,0,0
"T721",1,0,8,6,0.1071,1,0,0,0,0
"T722",1,0,8,7,0.125,1,0,0,0,0
"T723",1,0,8,7,0.125,1,0,0,0,0
"T724",1,0,8,7,0.125,1,0,0,0,0
"T725",1,0,8,9,0.1607,0,1,1,0,0
"T726",1,0,8,8,0.1429,0,1,0,0,0
"T727",1,0,8,9,0.1607,1,1,0,0,0
"T728",1,0,8,9,0.1607,1,1,0,0,0
"T729",1,0,8,8,0.1429,1,1,1,0,0
"T730",1,0,7,8,0.1905,1,0,1,0,0
"T731",1,0,7,6,0.1429,1,0,0,0,0
"T732",1,0,7,7,0.1667,1,1,0,0,0
"T733",1,0,7,9,0.2143,0,1,1,0,0
"T734",1,0,7,8,0.1905,0,1,0,0,0
"T735",1,0,7,8,0.1905,0,1,1,0,0
"T736",1,0,7,8,0.1905,0,1,1,0,0
"T737",1,0,7,7,0.1667,0,1,0,0,0
"T738",1,0,7,7,0.1667,1,0,1,0,0
"T739",1,0,7,7,0.1667,0,0,0,0,0
"T740",1,0,7,8,0.1905,1,0,0,0,0
"T741",1,0,7,10,0.2381,0,1,1,0,0
"T742",1,0,7,10,0.2381,0,1,1,0,0
"T743",1,0,7,8,0.1905,1,0,0,0,0
"T744",1,0,7,9,0.2143,0,1,1,0,0
"T745",1,0,7,9,0.2143,0,1,1,0,0
"T746",1,0,7,10,0.2381,0,1,1,0,0
"T747",1,0,7,9,0.2143,0,1,1,0,0
"T748",1,0,7,10,0.2381,0,1,1,0,0
"T749",1,0,7,9,0.2143,0,1,0,0,0
"T750",1,0,7,10,0.2381,0,1,1,0,0
"T751",1,0,7,9,0.2143,0,1,1,0,0
"T752",1,0,7,9,0.2143,0,1,1,0,0
"T753",1,0,7,9,0.2143,1,1,1,0,0
"T754",1,0,7,9,0.2143,0,0,1,0,0
"T755",1,0,8,11,0.1964,0,0,1,0,0
"T756",1,0,8,14,0.25,0,0,1,0,0
"T757",1,0,8,13,0.2321,0,0,1,0,0
"T758",1,0,8,14,0.25,0,0,1,0,0
"T759",1,0,11,14,0.1273,1,1,1,0,0
"T760",1,0,11,15,0.1364,1,1,1,0,0
"T761",1,0,10,17,0.1889,1,0,1,0,0
"T762",1,0,10,17,0.1889,1,0,1,0,0
"T763",1,0,9,9,0.125,0,0,1,0,0
"T764",1,0,9,10,0.1389,1,1,1,0,0
"T765",1,0,9,10,0.1389,1,0,1,0,0
"T766",1,0,9,11,0.1528,1,0,1,0,0
"T767",1,0,10,16,0.1778,0,0,1,0,0
"T768",1,0,10,16,0.1778,1,0,1,0,0
"T769",1,0,10,14,0.1556,1,0,0,0,0
"T770",1,0,9,8,0.1111,0,1,1,0,0
"T771",1,0,9,8,0.1111,1,0,0,0,0
"T772",1,0,9,8,0.1111,1,0,0,0,0
"T773",1,0,9,13,0.1806,1,0,1,0,0
"T774",1,0,10,15,0.1667,1,1,1,0,0
"T775",1,0,10,16,0.1778,1,0,1,0,0
"T776",1,0,10,15,0.1667,1,0,1,0,0
"T777",1,0,9,7,0.0972,0,1,0,0,0
"T778",1,0,9,8,0.1111,1,0,0,0,0
"T779",1,0,9,8,0.1111,1,0,0,0,0
"T780",1,0,9,11,0.1528,0,0,1,0,0
"T781",1,0,9,13,0.1806,1,0,0,0,0
"T782",1,0,9,12,0.1667,1,0,0,0,0
"T783",1,0,8,9,0.1607,0,1,1,0,0
"T784",1,0,8,11,0.1964,1,1,0,0,0
"T785",1,0,8,10,0.1786,0,1,1,0,0
"T786",1,0,9,11,0.1528,1,0,0,0,0
"T787",1,0,9,12,0.1667,1,1,1,0,0
"T788",1,0,9,8,0.1111,0,0,0,0,0
"T789",1,0,8,7,0.125,1,0,0,0,0
"T790",1,0,8,9,0.1607,0,1,1,0,0
"T791",1,0,8,7,0.125,1,0,0,0,0
"T792",1,0,8,8,0.1429,1,1,1,0,0
"T793",1,0,8,12,0.2143,1,0,1,0,0
"T794",1,0,8,11,0.1964,0,0,0,0,0
"T795",1,0,8,12,0.2143,1,1,0,0,0
"T796",1,0,8,12,0.2143,0,1,1,0,0
"T797",1,0,8,13,0.2321,0,1,1,0,0
"T798",1,0,8,12,0.2143,0,1,1,0,0
"T799",1,0,8,8,0.1429,1,1,1,0,0
"T800",1,0,8,9,0.1607,1,1,1,0,0
"T801",1,0,8,10,0.1786,1,1,0,0,0
"T802",1,0,8,6,0.1071,1,0,0,0,0
"T803",1,0,8,11,0.1964,1,0,1,0,0
"T804",1,0,8,11,0.1964,0,0,1,0,0
"T805",1,0,8,9,0.1607,1,1,0,0,0
"T806",1,0,7,7,0.1667,0,1,1,0,0
"T807",1,0,7,9,0.2143,0,1,1,0,0
"T808",1,0,7,7,0.1667,0,1,1,0,0
"T809",1,0,7,9,0.2143,0,1,0,0,0
"T810",1,0,7,6,0.1429,1,0,0,0,0
"T811",1,0,7,9,0.2143,0,1,1,0,0
"T812",1,0,7,7,0.1667,1,0,1,0,0
"T813",1,0,7,9,0.2143,0,1,1,0,0
"T814",1,0,7,9,0.2143,0,1,1,0,0
"T815",1,0,7,8,0.1905,0,1,1,0,0
"T816",1,0,7,7,0.1667,1,1,1,0,0
"T817",1,0,7,6,0.1429,1,0,0,0,0
"T818",1,0,7,7,0.1667,0,1,1,0,0
"T819",1,0,7,6,0.1429,0,1,0,0,0
"T820",1,0,7,7,0.1667,0,1,1,0,0
"T821",1,0,7,8,0.1905,1,1,0,0,0
"T822",1,0,7,8,0.1905,1,0,0,0,0
"T823",1,0,7,8,0.1905,0,1,1,0,0
"T824",1,0,7,8,0.1905,0,1,1,0,0
"T825",1,0,7,6,0.1429,1,0,0,0,0
"T826",1,0,6,5,0.1667,0,0,1,0,0
"T827",1,0,6,5,0.1667,1,0,0,0,0
"T828",1,0,6,7,0.2333,0,1,1,0,0
"T829",1,0,6,7,0.2333,0,1,1,0,0
"T830",1,0,6,7,0.2333,0,1,1,0,0
"T831",1,0,6,7,0.2333,1,0,0,0,0
"T832",1,0,6,8,0.2667,1,1,1,0,0
"T833",1,0,6,7,0.2333,1,1,1,0,0
"T834",1,0,6,8,0.2667,0,1,1,0,0
"T835",1,0,6,9,0.3,0,1,1,0,0
"T836",1,0,6,7,0.2333,0,0,1,0,0
"T837",1,0,11,20,0.1818,0,0,1,0,0
"T838",1,0,5,7,0.35,0,0,1,0,0
"T839",1,0,9,16,0.2222,0,0,1,0,0
"T840",1,0,7,10,0.2381,0,1,1,0,0
"T841",1,0,7,10,0.2381,0,0,1,0,0
"T842",1,0,7,10,0.2381,1,0,1,0,0
"T843",1,0,7,10,0.2381,0,0,0,0,0
"T844",1,0,7,11,0.2619,1,0,1,0,0
"T845",1,0,7,12,0.2857,0,0,1,0,0
"T846",1,0,9,13,0.1806,1,1,1,0,0
"T847",1,0,9,11,0.1528,0,1,1,0,0
"T848",1,0,9,13,0.1806,1,1,1,0,0
"T849",1,0,5,5,0.25,0,1,1,0,0
"T850",1,0,9,15,0.2083,1,0,1,0,0
"T851",1,0,9,9,0.125,1,1,1,0,0
"T852",1,0,8,8,0.1429,1,1,1,0,0
"T853",1,0,8,10,0.1786,1,0,0,0,0
"T854",1,0,8,9,0.1607,1,1,1,0,0
"T855",1,0,8,9,0.1607,1,0,1,0,0
"T856",1,0,8,11,0.1964,0,1,1,0,0
"T857",1,0,8,9,0.1607,1,0,1,0,0
"T858",1,0,9,11,0.1528,1,0,1,0,0
"T859",1,0,8,8,0.1429,1,1,0,0,0
"T860",1,0,8,11,0.1964,1,0,1,0,0
"T861",1,0,8,11,0.1964,1,1,1,0,0
"T862",1,0,9,14,0.1944,1,0,1,0,0
"T863",1,0,8,7,0.125,1,0,0,0,0
"T864",1,0,8,11,0.1964,1,1,0,0,0
"T865",1,0,8,10,0.1786,1,1,1,0,0
"T866",1,0,8,11,0.1964,1,1,0,0,0
"T867",1,0,8,11,0.1964,1,0,1,0,0
"T868",1,0,8,10,0.1786,1,0,1,0,0
"T869",1,0,8,11,0.1964,1,0,0,0,0
"T870",1,0,8,10,0.1786,1,0,1,0,0
"T871",1,0,7,5,0.119,1,0,0,0,0
"T872",1,0,7,7,0.1667,1,1,0,0,0
"T873",1,0,7,8,0.1905,1,1,0,0,0
"T874",1,0,7,9,0.2143,1,1,0,0,0
"T875",1,0,8,9,0.1607,1,0,0,0,0
"T876",1,0,7,8,0.1905,1,1,1,0,0
"T877",1,0,7,9,0.2143,1,1,1,0,0
"T878",1,0,7,8,0.1905,1,1,1,0,0
"T879",1,0,7,9,0.2143,0,1,1,0,0
"T880",1,0,7,9,0.2143,0,1,1,0,0
"T881",1,0,7,8,0.1905,1,1,1,0,0
"T882",1,0,5,4,0.2,1,0,0,0,0
"T883",1,0,8,10,0.1786,1,0,0,0,0
"T884",1,0,8,10,0.1786,1,0,0,0,0
"T885",1,0,7,5,0.119,1,0,0,0,0
"T886",1,0,7,5,0.119,1,0,0,0,0
"T887",1,0,7,5,0.119,1,0,0,0,0
"T888",1,0,7,6,0.1429,0,1,0,0,0
"T889",1,0,7,7,0.1667,1,1,0,0,0
"T890",1,0,7,10,0.2381,1,1,0,0,0
"T891",1,0,7,10,0.2381,1,0,1,0,0
"T892",1,0,6,6,0.2,1,1,1,0,0
"T893",1,0,7,7,0.1667,0,1,0,0,0
"T894",1,0,7,9,0.2143,1,1,0,0,0
"T895",1,0,7,8,0.1905,1,1,1,0,0
"T896",1,0,7,9,0.2143,1,1,0,0,0
"T897",1,0,6,6,0.2,1,1,0,0,0
"T898",1,0,6,7,0.2333,0,1,1,0,0
"T899",1,0,6,7,0.2333,0,1,1,0,0
"T900",1,0,6,8,0.2667,0,1,1,0,0
"T901",1,0,6,8,0.2667,0,1,1,0,0
"T902",1,0,6,6,0.2,1,1,1,0,0
"T903",1,0,7,11,0.2619,0,1,1,0,0
"T904",1,0,6,8,0.2667,0,1,1,0,0
"T905",1,0,5,4,0.2,1,0,0,0,0
"T906",1,0,6,8,0.2667,0,1,1,0,0
"T907",1,0,8,13,0.2321,0,0,1,0,0
"T908",1,0,6,9,0.3,0,0,1,0,0
"T909",1,0,6,7,0.2333,0,0,1,0,0
"T910",1,0,8,13,0.2321,0,1,1,0,0
"T911",1,0,6,8,0.2667,1,0,1,0,0
"T912",1,0,8,12,0.2143,1,1,1,0,0
"T913",1,0,8,11,0.1964,1,1,1,0,0
"T914",1,0,6,8,0.2667,0,1,1,0,0
"T915",1,0,8,11,0.1964,0,0,1,0,0
"T916",1,0,8,13,0.2321,1,0,1,0,0
"T917",1,0,9,14,0.1944,1,0,1,0,0
"T918",1,0,8,8,0.1429,1,0,1,0,0
"T919",1,0,7,7,0.1667,1,1,1,0,0
"T920",1,0,7,7,0.1667,0,1,1,0,0
"T921",1,0,7,8,0.1905,1,1,1,0,0
"T922",1,0,7,8,0.1905,1,1,1,0,0
"T923",1,0,4,3,0.25,1,0,0,0,0
"T924",1,0,8,11,0.1964,1,0,0,0,0
"T925",1,0,8,13,0.2321,1,0,1,0,0
"T926",1,0,7,7,0.1667,1,1,0,0,0
"T927",1,0,7,8,0.1905,0,0,1,0,0
"T928",1,0,7,7,0.1667,1,1,1,0,0
"T929",1,0,6,4,0.1333,1,0,0,0,0
"T930",1,0,6,6,0.2,1,1,1,0,0
"T931",1,0,7,5,0.119,0,1,0,0,0
"T932",1,0,7,7,0.1667,1,1,0,0,0
"T933",1,0,7,9,0.2143,1,1,0,0,0
"T934",1,0,7,8,0.1905,1,0,0,0,0
"T935",1,0,7,7,0.1667,1,0,0,0,0
"T936",1,0,7,10,0.2381,1,1,1,0,0
"T937",1,0,6,7,0.2333,1,1,0,0,0
"T938",1,0,6,8,0.2667,1,1,0,0,0
"T939",1,0,6,7,0.2333,0,0,1,0,0
"T940",1,0,6,6,0.2,1,0,0,0,0
"T941",1,0,6,7,0.2333,1,0,1,0,0
"T942",1,0,6,8,0.2667,0,1,1,0,0
"T943",1,0,6,6,0.2,1,1,0,0,0
"T944",1,0,5,6,0.3,0,1,1,0,0
"T945",1,0,6,8,0.2667,0,1,1,0,0
"T946",1,0,6,9,0.3,0,0,1,0,0
"T947",1,0,8,12,0.2143,0,1,1,0,0
"T948",1,0,5,6,0.3,0,0,1,0,0
"T949",1,0,9,16,0.2222,0,0,1,0,0
"T950",1,0,7,11,0.2619,0,0,1,0,0
"T951",1,0,7,11,0.2619,0,1,1,0,0
"T952",1,0,7,9,0.2143,0,0,1,0,0
"T953",1,0,8,12,0.2143,1,0,1,0,0
"T954",1,0,7,9,0.2143,1,1,1,0,0
"T955",1,0,6,5,0.1667,0,1,1,0,0
"T956",1,0,6,6,0.2,1,1,0,0,0
"T957",1,0,8,11,0.1964,1,0,1,0,0
"T958",1,0,6,6,0.2,0,0,1,0,0
"T959",1,0,6,8,0.2667,0,1,1,0,0
"T960",1,0,5,7,0.35,1,0,1,0,0
"T961",1,0,8,14,0.25,0,0,1,0,0
"T962",1,0,6,7,0.2333,0,0,1,0,0
"T963",1,0,6,9,0.3,1,0,1,0,0
"T964",1,0,6,8,0.2667,0,0,1,0,0
